問題,回答,解説,カテゴリ
スペイン王国はどのように成立し、1492年に何をした？,カスティリャ女王イサベルとアラゴン王フェルナンドの結婚・共同統治で両王国が結ばれ、1492年にグラナダを征服した。,両王国は王家の結合によって同じ君主夫妻のもとに置かれたが、制度は当面別々に保たれた。グラナダ陥落により、イベリア半島のイスラーム王朝の支配は終わった。,イスラーム世界
ナスル朝の都は？,グラナダ。,イベリア半島南部の都市で、ナスル朝の政治・文化の中心として栄えた。1492年にカトリック両王へ明け渡された。,イスラーム世界
ナスル朝がグラナダに建てた、イスラーム建築の傑作として知られる宮殿は？,アルハンブラ宮殿。,ナスル朝の歴代君主が築いた宮殿都市で、精密なアラベスク装飾、中庭、水を生かした空間構成で知られる。,イスラーム世界
後ウマイヤ朝で、929年にカリフを称して「西カリフ国」を成立させた君主は？,アブド＝アッラフマーン3世。,929年にコルドバでカリフを称し、アッバース朝やファーティマ朝に対抗した。後ウマイヤ朝の最盛期を築いた君主である。,イスラーム世界
アイユーブ朝が成立した経緯は？,サラディンがファーティマ朝の宰相となり、同朝を滅ぼしてエジプトに建国した。,サラディンはザンギー朝のヌール＝アッディーンが派遣した軍に加わってエジプトへ入り、1169年に宰相となった。1171年にシーア派のファーティマ朝を廃し、スンナ派政権を樹立した。,イスラーム世界
アルハンブラ宮殿はどの王朝がどこに建てた？,ナスル朝のグラナダ,アルハンブラ宮殿は、イベリア半島最後のイスラーム王朝であるナスル朝が、都グラナダに築いた宮殿・城塞群である。,イスラーム世界
クシュ王国について説明しなさい,ナイル川上流のヌビア（現在のスーダン北部を中心とする地域）に成立した王国。一時エジプトを支配したが、アッシリアの進出でエジプトから退き、のちにメロエを中心として発展した。,古代の広い意味での「エチオピア」と、現在のエチオピア共和国を混同しない。,イスラーム世界
アクスム王国について説明しなさい,紀元前後にエチオピア北部で成立し、紅海貿易で繁栄した王国。メロエ王国を滅ぼし、4世紀ごろにキリスト教を受容して国教化した。,,イスラーム世界
単性論派について説明しなさい,キリストの神性と人性を分離せず、一つの本性として捉えるキリスト教の立場。451年のカルケドン公会議で異端とされ、エジプトやエチオピアなどで広まった。,,イスラーム世界
コプト派について説明しなさい,エジプトを中心に発展した、単性論系のキリスト教会。カルケドン公会議の決定を受け入れず、エチオピアのキリスト教にも強い影響を与えた。,,イスラーム世界
マリ王国について説明しなさい,13世紀にイスラーム教を受容した黒人（マンディンゴ人）が建てた西アフリカの王国。サハラ交易で発展し、大量の金を供給したことから「黄金の国マリ」として知られた。,,イスラーム世界
トンブクトゥについて説明しなさい。,ニジェール川中流域にある都市で、マリ王国のもとでサハラ交易の中継点として繁栄した。,,イスラーム世界
マンサ=ムーサについて説明しなさい,マリ王国全盛期の王。メッカ巡礼の際にエジプトを通り、大量の金を使ったため、エジプトの金相場が暴落したとされる。,,イスラーム世界
マリ王国に代わって西アフリカで勢力を広げ、トンブクトゥをイスラーム教学の中心として発展させた国家は？,ソンガイ王国,マリ王国はソンガイの台頭後も存続したため、「マリを滅ぼした」とは区別する。,イスラーム世界
ソンガイ王国について説明しなさい,マリ王国の衰退に伴って西アフリカで勢力を広げたイスラーム国家。トンブクトゥなどの交易都市を支配し、サハラ交易やイスラーム教学が発展した。,マリ王国とソンガイ王国には存続期間の重なりがある。,イスラーム世界
チャド湖周辺に成立した黒人イスラーム国家は？,カネム＝ボルヌー王国,,イスラーム世界
アフリカ東岸でインド洋交易をやっていたムスリム商人が定住したことで、どのような都市が発展した？,モガディシュ・マリンディ・モンバサ・ザンジバル・キルワ・モザンビークなどの港市。,,イスラーム世界
スワヒリ語はどのように成立した？,東アフリカ沿岸のバントゥー系言語を基盤に、ムスリム商人との交易・交流を通じてアラビア語などの語彙を取り入れて発達した。,言語の系統はバントゥー系で、アラビア語と対等に混合した言語という意味ではない。,イスラーム世界
スワヒリ文化について説明しなさい。,アフリカ東岸で、イスラーム文化と黒人文化が融合して成立した文化。,,イスラーム世界
アフリカ東岸では、ムスリム商人の活動によって何が起こった？,インド洋交易によってモガディシュ・マリンディ・モンバサ・ザンジバル・キルワ・モザンビークなどの港市が繁栄した。バントゥー系言語を基盤にアラビア語の語彙を取り入れたスワヒリ語が発達し、現地文化とイスラーム文化が結びついたスワヒリ文化が形成された。,港市・交易・言語・文化の結び付きを整理する。,イスラーム世界
鄭和の艦隊とヴァスコ＝ダ＝ガマの双方が立ち寄った東アフリカの港市は？,マリンディ,,イスラーム世界
モノモタパ王国について説明しなさい,アフリカ南部でショナ系の人々が建て、金の産出とインド洋沿岸との交易で繁栄した王国。大ジンバブエの繁栄を受け継ぐ地域の歴史に位置づけられる。,大ジンバブエの石造都市と、のちに勢力を広げたモノモタパ王国を同一の都として扱わない。,イスラーム世界
ティムール朝はどのような経緯で成立した？,西チャガタイ＝ハン国出身のティムールが、同国分裂後の部族間抗争を勝ち抜き、チンギス＝ハンの後継者を称して政権を樹立した。,,イスラーム世界
ティムールがカスピ海北岸へ進出して攻撃し、大きな打撃を与えたモンゴル系国家は？,キプチャク＝ハン国【ジョチ＝ウルス】,,イスラーム世界
トゥグルク朝が衰退した理由を説明しなさい。,ティムール軍が西北インドに侵入してデリーを占領し、大規模な略奪を行ったため。,,イスラーム世界
1402年、ティムール軍がオスマン朝のバヤジット1世を破って捕虜とし、オスマン朝を一時混乱に陥れた戦いは？,アンカラの戦い,,イスラーム世界
アンカラの戦いについて説明しなさい。,1402年、アナトリアに進出したティムール軍がオスマン朝のバヤジット1世を破り、彼を捕虜にした戦い。これによりオスマン朝は一時的に分裂・混乱し、約10年間の空位・内戦状態に入った。,,イスラーム世界
ティムールがアンカラの戦い後、オスマン朝のバルカン支配を奪おうとしなかった理由を説明しなさい。,ティムールの主な関心はオスマン朝の領土そのものではなく、モンゴル宗家の元を中国北方へ追いやった明への遠征にあったため。アナトリアの旧領もオスマン朝以前の支配者に返した。,,イスラーム世界
ティムールの対明遠征には、彼のどのような政治的自己認識が表れているか説明しなさい。,自らをチンギス＝ハンの後継者と位置づけ、元を追放した明を倒すことでモンゴル帝国の後継者としての立場を示そうとする意識が表れている。,,イスラーム世界
ティムールの死後、シャー＝ルフが本拠地とし、ティムール朝の都となった都市は？,ヘラート,,イスラーム世界
ティムールの死後に実権を握り、ヘラートを都として明・オスマン帝国との関係修復や交易・文化の保護を進めた人物は？,シャー＝ルフ,,イスラーム世界
シャー＝ルフからサマルカンドの統治を任された人物は？,ウルグ＝ベク,,イスラーム世界
ティムール朝期のサマルカンドで作られ、当時もっとも精密とされた天文学上の成果は？,ウルグ＝ベク天文表,,イスラーム世界
ティムール死後、ティムール朝の対外政策はどのように変化した？,シャー＝ルフが明・オスマン帝国との関係を修復し、征服より交易・文化の保護を重視する方向へ転換した。,,イスラーム世界
ティムール朝の文化が、モンゴル系王朝の文化を受け継いでいたことを示す具体例は？,イル＝ハン国のもとで発展した細密画【ミニアチュール】が、ヘラートやサマルカンドで普及したこと。,,イスラーム世界
ウズベク人とは何か説明しなさい。,モンゴル系部族がトルコ化して成立したトルコ系遊牧民で、ティムール朝末期に中央アジアへ進出した民族。,,イスラーム世界
トルコ化したモンゴル系部族を起源とし、ティムール朝を滅ぼす勢力となった中央アジアの遊牧民は？,ウズベク人,,イスラーム世界
ウズベク人のシャイバーニーがブハラを拠点に建て、ティムール朝を滅ぼした王朝は？,シャイバーン朝【ブハラ＝ハン国】,,イスラーム世界
ウズベク人のシャイバーニーが拠点とし、シャイバーン朝を建てた都市は？,ブハラ,,イスラーム世界
3ハン国とは何か説明しなさい,西トルキスタンに並び立ったウズベク人の3王国で、ブハラ＝ハン国・ヒヴァ＝ハン国・コーカンド＝ハン国を指す。イラン・中国・インドを結ぶ内陸交易で栄えた。,,イスラーム世界
シャイバーニーが建てたブハラ＝ハン国とは別に、別のウズベク人部族が建てたハン国は？,ヒヴァ＝ハン国,,イスラーム世界
18世紀にブハラ＝ハン国から分かれて成立したハン国は？,コーカンド＝ハン国,,イスラーム世界
カザフ=ハン国が成立した経緯について説明しなさい,ウズベク系遊牧集団の一部が分離し、ウズベク人が南下した後の北方草原で勢力を広げて成立した。,,イスラーム世界
サファヴィー朝について説明しなさい。,ティムール朝分裂後のイランで、サファヴィー教団の教主イスマーイール1世がトルコ系遊牧民キジルバシュの軍事力を背景にタブリーズで建国した王朝。ウズベク人を破ってイラン支配を固め、シーア派の十二イマーム派を国教として布教を進めた。,,イスラーム世界
サファヴィー朝建国時に、イスマーイール1世を軍事的に支えたトルコ系遊牧民は？,キジルバシュ,,イスラーム世界
キジルバシュについて説明しなさい。,サファヴィー教団を支持したトルコ系遊牧民で、イスマーイール1世のもとで軍事力の中核となり、サファヴィー朝建国を支えた集団。,,イスラーム世界
サファヴィー朝の君主が、イラン民族を結集してオスマン帝国に対抗するために名乗った伝統的な君主称号は？,シャー,,イスラーム世界
チャルディラーンの戦いについて説明しなさい。,スンナ派のオスマン帝国とシーア派のサファヴィー朝がアゼルバイジャンをめぐって戦い、火器で武装したセリム1世のオスマン軍が勝利した戦い。サファヴィー朝は敗れてタブリーズを占領され、オスマン帝国は東アナトリアへ勢力を広げた。,,イスラーム世界
1514年、セリム1世率いるオスマン帝国軍がサファヴィー朝を破り、東アナトリア方面で優位に立った戦いは？,チャルディラーンの戦い,,イスラーム世界
チャルディラーンの戦いでサファヴィー朝を破り、東アナトリアを獲得したオスマン帝国のスルタンは？,セリム1世,,イスラーム世界
サファヴィー朝の第5代君主は？,アッバース1世,,イスラーム世界
アッバース1世について説明しなさい。,サファヴィー朝第5代君主。キジルバシュ中心の軍制を改め、ゴラーム騎兵や火器部隊を整備して軍事力を強化し、オスマン帝国からアゼルバイジャン・イラク・タブリーズを奪回した。さらにポルトガルをホルムズ島から追放して交易路を確保し、イスファハーンへ遷都して中央集権化と商業振興を進め、サファヴィー朝を復興させた。,,イスラーム世界
ゴラームとは何か説明しなさい。,サファヴィー朝で、グルジア人やアルメニア人などを奴隷身分から登用した軍人で、アッバース1世がキジルバシュに代わる軍事基盤として騎兵隊に編成した。,,イスラーム世界
アッバース1世がキジルバシュへの依存を減らしてゴラームを重用したのはなぜ？,部族勢力であるキジルバシュの力を抑え、シャー直属の軍を整備して中央集権化を進めるため。,,イスラーム世界
サファヴィー朝がポルトガルをホルムズ島から追い出す際、イギリスが協力したのはなぜ？,ポルトガルがペルシア湾交易を支配しており、イギリスにとっても商業上のライバルだったため、サファヴィー朝と利害が一致したから。,,イスラーム世界
サファヴィー朝で、交易路の整備とともに増設された宿泊施設は？,キャラバンサライ【隊商宿】,,イスラーム世界
アッバース1世が遷都し、「世界の半分」と称賛されるほど繁栄したサファヴィー朝の都は？,イスファハーン,,イスラーム世界
アッバース1世時代のイスファハーンで、王宮・モスク・マドラサが集められた都市中心部の広場は？,メイダーン【王の広場】,,イスラーム世界
アッバース1世がイスファハーンに建てた、青や黄色のタイル装飾で知られるイスラーム建築は？,王のモスク【現在のイマームのモスク】,,イスラーム世界
アッバース1世時代のイスファハーンで国際商業を活発化させたキリスト教徒の商人集団は？,アルメニア教徒,,イスラーム世界
アッバース1世時代、ヨーロッパ人がイスファハーンに求めて来た代表的な商品は？,生糸・絹織物,,イスラーム世界
18世紀に入るとサファヴィー朝の各地で経済が悪化し始めたのは何故？,ヨーロッパ各国がアジアに進出したことで、サファヴィー朝の国際交易が衰退したため。,,イスラーム世界
18世紀、サファヴィー朝衰退期にイスファハーンを占領した民族は？,アフガン人,,イスラーム世界
サファヴィー朝を滅ぼし、アフシャール朝を建てたトルコ系アフシャール人の君主は？,ナーディル＝シャー,,イスラーム世界
サファヴィー朝滅亡後、アフガン人が自立して建てた王朝は？,ドゥッラーニー朝,,イスラーム世界
18世紀末、テヘランを都にガージャール朝を建ててイランを統一した人物は？,アーガー＝ムハンマド,,イスラーム世界
18世紀末、アーガー＝ムハンマドがテヘランを都に建て、イランを統一した王朝は？,ガージャール朝,,イスラーム世界
ガージャール朝が都とした都市は？,テヘラン,,イスラーム世界
ナーディル＝シャーがサファヴィー朝を滅ぼした後に建てた王朝は？,アフシャール朝,,イスラーム世界
"13世紀、ルーム＝セルジューク朝の衰退・崩壊後、アナトリア各地に成立したトルコ系の小国家を何というか？","ベイリク","","イスラーム世界"
"現在のトルコ共和国の大部分を占める、小アジアとも呼ばれる地域を何というか？","アナトリア","","イスラーム世界"
"13世紀末、ルーム＝セルジューク朝の衰退後にアナトリア西北部で成立し、のちにバルカン半島・西アジア・北アフリカへ勢力を広げた王朝を何というか？","オスマン朝","","イスラーム世界"
"オスマン朝初期に、発展の基盤となった出来事を説明しなさい。","第2代君主オルハンがビザンツ帝国からブルサを奪ったこと。","","イスラーム世界"
"オスマン朝第3代君主が攻略し、のちに都とした都市は？","アドリアノープル（エディルネ）","","イスラーム世界"
"1389年、オスマン軍がセルビアを中心とするバルカン諸勢力の連合軍を破った戦いは？","コソヴォの戦い","","イスラーム世界"
"コソヴォの戦いについて説明しなさい","1389年、オスマン朝がセルビアを中心とするバルカン諸勢力の連合軍を破った戦い。オスマン朝は勝利してバルカン進出を進めたが、第3代君主ムラト1世は戦いの最中に殺害された。","","イスラーム世界"
"イェニチェリについて説明しなさい","バルカン半島などのキリスト教徒の少年を徴用し、イスラーム教に改宗させて育成した、オスマン朝直属の常備歩兵軍団。","","イスラーム世界"
"オスマン朝がイェニチェリを編成できるようになった背景を説明しなさい。","バルカン半島への進出によって多くのキリスト教徒を支配下に置き、その中から少年を徴用して軍人として育成できるようになったため。","","イスラーム世界"
"マムルークとイェニチェリの違いについて述べなさい","マムルーク＝主にトルコ系・チェルケス系などの奴隷を購入して軍人として育成した奴隷軍人で、のちにはエジプトで自ら王朝を建てて支配者にもなった。　イェニチェリ＝オスマン朝が主にバルカン半島のキリスト教徒の少年を徴用・改宗させて育成した、君主直属の常備歩兵軍団。","","イスラーム世界"
"オスマン朝が、バルカン半島などのキリスト教徒の少年を徴集し、イスラーム教に改宗させて軍人や官僚として育成した制度を何というか？","デヴシルメ","","イスラーム世界"
"デヴシルメとは何か説明しなさい","オスマン朝が、主にバルカン半島のキリスト教徒の少年を徴集し、イスラーム教に改宗させて教育し、イェニチェリなどの軍人や官僚として育成した制度。","","イスラーム世界"
"オスマン朝の第4代君主は？","バヤジット1世","","イスラーム世界"
"バヤジット1世について説明しなさい","オスマン朝第4代君主。「稲妻」とも呼ばれた軍の天才。バルカン半島とアナトリアで領土を拡大し、ニコポリスの戦いでヨーロッパ諸国の連合軍を破った。コンスタンティノープルも包囲したが、1402年のアンカラの戦いでティムールに敗れて捕虜となった。","","イスラーム世界"
"1396年、バヤジット1世率いるオスマン軍が、ハンガリー王らを中心とするヨーロッパ諸国の十字軍を破った戦いは？","ニコポリスの戦い","","イスラーム世界"
"ニコポリスの戦いについて説明しなさい","1396年、バヤジット1世率いるオスマン軍が、ハンガリー王ジギスムントを中心とするヨーロッパ諸国の十字軍を破った戦い。オスマン朝のバルカン支配を強める結果となった。","","イスラーム世界"
"ニコポリスの戦いで、オスマン朝に対する十字軍を率いたハンガリー王は？","ジギスムント","","イスラーム世界"
"オスマン朝の第1～10代君主のうち、特に重要な7人の名前をそれぞれ答えなさい","①オスマン1世、②オルハン、③ムラト1世、④バヤジット1世、⑦メフメト2世、⑨セリム1世、⑩スレイマン1世","","イスラーム世界"
"オスマン朝の第7代君主の名前を答えなさい","メフメト2世","","イスラーム世界"
"メフメト2世について説明しなさい","オスマン朝第7代君主。1453年にコンスタンティノープルを攻略してビザンツ帝国を滅ぼし、同地を首都としてオスマン朝の発展の基礎を築いた。","","イスラーム世界"
"1453年、メフメト2世が攻略し、ビザンツ帝国を滅亡させた都市は？","コンスタンティノープル","","イスラーム世界"
"オスマン朝で、軍役の義務と引き換えに騎兵などへ徴税権を与えた制度を何というか？","ティマール制","","イスラーム世界"
"ティマール制について説明しなさい","オスマン朝が、軍役を担う騎兵などに一定地域の徴税権を与える代わりに、軍事奉仕を義務づけた制度。セルジューク朝などのイクター制と似た仕組みである。","","イスラーム世界"
"オスマン朝で、ティマール制によって徴税権を与えられ、軍役を担った騎兵を何というか？","シパーヒー","","イスラーム世界"
"シパーヒーについて説明しなさい","オスマン朝の騎兵で、ティマール制によって土地からの徴税権を与えられ、その代わりに軍役を担った。","","イスラーム世界"
"ビザンツ帝国滅亡について説明しなさい","1453年、オスマン朝のメフメト2世がコンスタンティノープルを攻略し、約1000年続いたビザンツ帝国を滅ぼした。その後、コンスタンティノープルはオスマン朝の首都となった。","","イスラーム世界"
"コンスタンティノープル征服後、メフメト2世が建設し、オスマン帝国の歴代スルタンの居城・政治の中心となった宮殿は？","トプカプ宮殿","","イスラーム世界"
"コンスタンティノープルに建てられ、1453年のオスマン朝による征服後にモスクへ転用された、ビザンツ帝国を代表する大聖堂は？","ハギア＝ソフィア聖堂","","イスラーム世界"
"オスマン朝がオスマン帝国になった経緯について説明しなさい","アナトリア西北部の小さなベイリクとして始まったオスマン朝は、バルカン半島やアナトリアへ領土を拡大し、1453年にメフメト2世がコンスタンティノープルを征服してビザンツ帝国を滅ぼした。その後さらにヨーロッパ・西アジア・北アフリカへ支配を広げ、多民族・多宗教を支配する大帝国へ発展した。","","イスラーム世界"
"メフメト2世が黒海北岸へ進出して服属させた国家は？","クリミア＝ハン国（クリム＝ハン国）","","イスラーム世界"
"コンスタンティノープル征服後も続いたメフメト2世の征服活動について説明しなさい。","バルカン半島でセルビア・ボスニアなどを征服し、黒海北岸ではクリミア＝ハン国を服属させ、アナトリアのトルコ系君侯国も征服して黒海周辺への支配を広げた。","","イスラーム世界"
"メフメト2世は、支配下に入った異教徒をどのように統治したか？","信仰や一定の自治を認める代わりに、帝国への貢納を義務づけた。","","イスラーム世界"
"オスマン帝国で、ユダヤ教徒・ギリシア正教徒・アルメニア教徒などが宗教別に形成した自治的な共同体を何というか？","ミッレト","","イスラーム世界"
"ミッレトについて説明しなさい","オスマン帝国で、非イスラーム教徒が宗教別に形成した共同体。各宗派の聖職者を中心に一定の信仰・自治が認められ、その代わりに帝国への納税などの義務を負った。","","イスラーム世界"
"チャルディラーンの戦いが起こった理由は？","東アナトリアの領土争いに加え、スンナ派のオスマン帝国とシーア派のサファヴィー朝の宗教的対立があったため。","","イスラーム世界"
"オスマン帝国で、イスラーム法（シャリーア）にもとづいて裁判を行った裁判官を何というか？","カーディー","","イスラーム世界"
"セリム1世について説明しなさい","オスマン帝国第9代スルタン。1514年のチャルディラーンの戦いでサファヴィー朝を破り、1517年にマムルーク朝を滅ぼしてエジプト・シリアを征服した。さらにメッカ・メディナを含むヒジャーズ地方も支配下に置き、オスマン帝国をイスラーム世界の大国へ発展させた。","","イスラーム世界"
"スルタン=カリフ制について説明しなさい","オスマン帝国のスルタンが、政治上の君主である「スルタン」と、イスラーム世界の宗教的指導者である「カリフ」を兼ねるとする考え方。セリム1世が1517年にマムルーク朝を滅ぼしてメッカ・メディナを勢力下に置き、スンナ派世界の盟主となったことを背景に、後世には「このときカイロのアッバース家からカリフ位を譲られた」と説明され、18～19世紀にスルタン＝カリフ制が強く主張されるようになった。","","イスラーム世界"
"オスマン帝国の10代目の君主は？","スレイマン1世","","イスラーム世界"
"スレイマン1世について説明しなさい","オスマン帝国第10代スルタン。サファヴィー朝からバグダードを奪ってイラクを支配下に置き、西方ではモハーチの戦いでハンガリーを破り、第1次ウィーン包囲を行うなどハプスブルク家と対抗し、オスマン帝国を最盛期に導いた。また法制度の整備にも力を入れ、「立法者（カーヌーニー）」と呼ばれた。","","イスラーム世界"
"フランソワ1世がスレイマン1世に接近した理由を説明しなさい","フランスが、カール5世率いるハプスブルク家のスペインと神聖ローマ帝国に挟まれていたため、その対抗勢力であるオスマン帝国のスレイマン1世に支援を求めた。","","イスラーム世界"
"ハプスブルク家に対抗するため、宗教の違いを越えてオスマン帝国のスレイマン1世に接近したフランス王は？","フランソワ1世","","イスラーム世界"
"16世紀、スペイン王と神聖ローマ皇帝を兼ね、フランソワ1世やスレイマン1世と対立したハプスブルク家の君主は？","カール5世","","イスラーム世界"
"モハーチの戦いでハンガリー王ラヨシュ2世が戦死した後、ハプスブルク家がハンガリー王位を主張できた背景は？","フェルディナント1世とアンナ、マリアとラヨシュ2世という二重の政略結婚によって、ハンガリー王家と婚姻関係を結んでいたため。","","イスラーム世界"
"1529年、スレイマン1世がハプスブルク家に対して行った軍事行動は？","第1次ウィーン包囲","","イスラーム世界"
"第1次ウィーン包囲について説明しなさい","1529年、スレイマン1世率いるオスマン軍がハンガリー方面から進軍し、ハプスブルク家の中心地ウィーンを包囲した出来事。攻略には失敗したが、オスマン帝国の中央ヨーロッパ進出を象徴する出来事となった。","","イスラーム世界"
"モハーチの戦いについて説明しなさい","1526年、スレイマン1世率いるオスマン軍がハンガリー王ラヨシュ2世を破った戦い。ラヨシュ2世は戦死し、オスマン帝国はハンガリーの大部分へ進出した。この結果、ハンガリー王位を主張するハプスブルク家との対立が激化した。","","イスラーム世界"
"1526年、スレイマン1世率いるオスマン軍がハンガリー王ラヨシュ2世を破った戦いは？","モハーチの戦い","","イスラーム世界"
"1538年、バルバロス率いるオスマン艦隊が、スペイン・ヴェネツィア・教皇などの連合艦隊を破った海戦は？","プレヴェザの海戦","","イスラーム世界"
"プレヴェザの海戦について説明しなさい","1538年、バルバロス率いるオスマン艦隊が、スペイン・ヴェネツィア・教皇などの連合艦隊を破った海戦。この勝利によってオスマン帝国は地中海での優位を強めた。","","イスラーム世界"
"16世紀、スペイン王としてオスマン帝国のスレイマン1世と対立した人物は？","カルロス1世（神聖ローマ皇帝カール5世）","","イスラーム世界"
"カルロス1世について説明しなさい","ハプスブルク家のスペイン王で、神聖ローマ皇帝カール5世と同一人物。フランス王フランソワ1世や、オスマン帝国のスレイマン1世と対立した。","","イスラーム世界"
"オスマン帝国が、フランスなどの外国商人に対して関税の軽減や領事裁判権などの特権を認めた制度を何というか？","カピチュレーション","","イスラーム世界"
"カピチュレーションについて説明しなさい","スレイマン1世が、ハプスブルク家に対抗するため同盟したフランスに対して、領事裁判権や免税などの特権を認めたことに始まる通商特権。のちにイギリスやオランダの商人にも与えられ、西ヨーロッパとの交易を活発化させた。","","イスラーム世界"
"ハプスブルク家とは何か。また、16世紀にはどの地域を支配していたか？","16世紀にはスペイン王位や神聖ローマ皇帝位を握り、オーストリア方面にも勢力を持っていた。","","イスラーム世界"
"オスマン帝国で、スレイマン1世が整備した世俗的な法令・法体系を何というか？","カーヌーン","","イスラーム世界"
"シャリーアとカーヌーンの違いを説明しなさい","シャリーアは、クルアーンなどをもとにしたイスラーム法。カーヌーンは、シャリーアだけでは対応しきれない行政・税制・土地制度などについて、オスマン帝国のスルタンが定めた国家法。","","イスラーム世界"
"イスタンブルに建築家シナン(スィナン)の設計で建立された建物は？","スレイマニエ＝モスク（スレイマン=モスク）","","イスラーム世界"
"スレイマニエ＝モスク（スレイマン=モスク）を設計した人物は？","シナン(スィナン)","","イスラーム世界"
"スレイマン1世の後を継ぎ、その治世中にキプロス征服やレパントの海戦が起こったオスマン帝国第11代君主は？","セリム2世","","イスラーム世界"
"レパントの海戦で、スペイン・ヴェネツィア・教皇の連合艦隊を率いてオスマン海軍を破ったスペイン王は？","フェリペ2世","","イスラーム世界"
"1571年、スペイン・ヴェネツィア・教皇の連合艦隊がオスマン海軍を破った海戦は？","レパントの海戦","","イスラーム世界"
"レパントの海戦について説明しなさい","1571年、フェリペ2世のスペイン・ヴェネツィア・教皇の連合艦隊がオスマン海軍を破った海戦。オスマン帝国はその後すぐに艦隊を再建したが、不敗神話が崩れる象徴的な敗北となった。","","イスラーム世界"
"徴税請負制とは何か説明しなさい","オスマン帝国で、長期戦による財政難を背景に、国家が一定地域の徴税権を有力者や商人などに請け負わせ、請負人から一定額を納めさせることで現金収入を確保した制度。これが広がると、徴税権と軍役を結びつけていたティマール制が衰退する一因となった。","","イスラーム世界"
"ティマール制と徴税請負制の違いを説明しなさい","ティマール制は徴税権を与える代わりに軍役を課す制度で、徴税請負制は徴税権を与える代わりに国家へ現金を納めさせる制度。","","イスラーム世界"
"1683年、オスマン帝国がウィーン攻略に失敗し、オーストリアやポーランドなどの反撃を受けるきっかけとなった出来事は？","第2次ウィーン包囲","","イスラーム世界"
"第2次ウィーン包囲について説明しなさい","1683年、オスマン帝国がウィーンを包囲したが攻略に失敗し、オーストリアやポーランドなどの反撃を受けた出来事。以後、オスマン帝国はヨーロッパで後退していった。","","イスラーム世界"
"1699年、オスマン帝国がオーストリアなどと結び、ハンガリーなどを割譲した条約は？","カルロヴィッツ条約","","イスラーム世界"
"カルロヴィッツ条約について説明しなさい","1699年、第2次ウィーン包囲失敗後の戦争を経て結ばれた条約。オスマン帝国はオーストリアにハンガリーなどを割譲し、ヨーロッパで大きく後退した。","","イスラーム世界"
"オスマン帝国が初めて敗戦国として領土を割譲した条約は？","カルロヴィッツ条約","","イスラーム世界"
"18世紀前半、オスマン帝国で「チューリップ時代」と呼ばれる西欧文化受容の時期を迎えた第23代スルタンは？","アフメト3世","","イスラーム世界"
"オスマン朝およびオスマン帝国の歴代君主のうち、大学受験上特に重要な人物を答えなさい","①オスマン1世、②オルハン、③ムラト1世、④バヤジット1世、⑦メフメト2世、⑨セリム1世、⑩スレイマン1世、⑪セリム2世、㉓アフメト3世、㉚マフムト2世、㉛アブデュル＝メジト1世、㉞アブデュル＝ハミト2世","","イスラーム世界"
"オスマン帝国のアフメト3世の時代が「チューリップ時代」と呼ばれるのはなぜか？","カルロヴィッツ条約以後、西欧文化への関心が高まるなか、宮廷や上流階級でチューリップ栽培が大流行し、トプカプ宮殿でも盛んに栽培されるなど、華やかで享楽的な宮廷文化が栄えたため。","","イスラーム世界"
"1526年、第1次パーニーパットの戦いでロディー朝を破り、ムガル帝国を建国した人物は？","バーブル","","イスラーム世界"
"バーブルについて説明しなさい","ティムールの子孫で、ウズベク人に奪われたサマルカンドの奪回に失敗した後、中央アジアからカーブルを拠点にインドへ進出し、1526年の第1次パーニーパットの戦いでロディー朝を破ってムガル帝国を建国した人物。","","イスラーム世界"
"バーブルがインド進出の拠点とした、現在のアフガニスタンの都市は？","カーブル","","イスラーム世界"
"1526年、バーブルが当時内紛で衰退していたロディー朝を破り、デリーを占領してムガル帝国建国につなげた戦いは？","第1次パーニーパットの戦い","","イスラーム世界"
"第1次パーニーパットの戦いについて説明しなさい","1526年、バーブルが火砲と騎兵を用いて当時内紛で衰退していたロディー朝を破った戦い。この勝利でデリーを占領し、ムガル帝国を建国した。","","イスラーム世界"
"バーブルがスルタンではなく皇帝（パーディシャー）を称したのはなぜか？","ティムールとチンギス＝ハン双方の血統を受け継ぎ、自らをより高い権威をもつ帝王と位置づけたため。","","イスラーム世界"
"ムガル帝国の1代目君主は？","バーブル","","イスラーム世界"
"ムガル帝国の2代目君主は？","フマーユーン","","イスラーム世界"
"フマーユーンをインドから追放したアフガン系王朝は？","スール朝","","イスラーム世界"
"フマーユーンはどのような経緯でデリーを奪還したか？","スール朝に敗れてサファヴィー朝へ亡命した後、その支援を受け、スール朝の内紛に乗じてデリーを奪還した。","","イスラーム世界"
"ムガル帝国の3代目君主は？","アクバル","","イスラーム世界"
"アクバルについて説明しなさい","ムガル帝国第3代皇帝。アグラを都として領土を大きく拡大し、ヒンドゥー教徒を登用して融和政策を進め、ジズヤを廃止するなど帝国支配を安定させたため、ムガル帝国の実質的な建国者とされる。","","イスラーム世界"
"アクバルが都を置き、ムガル帝国統治の中心とした都市は？","アグラ","","イスラーム世界"
"北インド各地に小王国を形成し、アクバルが融和政策によって取り込んだ武人・支配者集団を何というか？","ラージプート","","イスラーム世界"
"古代インドのヴァルナ制で、王族・武人などが属した身分を何というか？","クシャトリヤ","","イスラーム世界"
