term_id,level,unit,period,region,term,term_type,q1_axis,question_1,answer_1,q2_axis,question_2,answer_2,q3_axis,question_3,answer_3,q4_axis,question_4,answer_4,integrated_question,total_explanation,core_keywords
31,歴史の骨格,イスラーム・中央ユーラシア史,661年〜750年,西アジア・北アフリカ・イベリア半島・中央アジア,ウマイヤ朝,王朝・カリフ国家,成立・都,ウマイヤ朝はいつ成立し、都をどこに置いたか？,661年に成立し、都をダマスクスに置いた。,範囲,ウマイヤ朝の領土は、どこからどこまで広がったか？,西はイベリア半島、東は中央アジア・インド西北部まで広がった。,統治,ウマイヤ朝の統治は、なぜ非アラブ系ムスリムの不満を招いたか？,アラブ人を優遇し、改宗した非アラブ人にも差別的な負担を残したから。,終焉,ウマイヤ朝は、誰によって倒されたか？,750年にアッバース家を中心とする革命で倒された。,ウマイヤ朝について、都・拡大・アラブ人優遇・滅亡を説明せよ。,ウマイヤ朝は、661年に成立し、ダマスクスを都とした最初の世襲カリフ王朝である。イベリア半島から中央アジアまで征服したが、アラブ人中心の支配が非アラブ系ムスリムの不満を招いた。750年、アッバース革命によって倒された。,661年;ダマスクス;世襲カリフ;イベリア半島;アラブ人優遇;750年
32,歴史の骨格,イスラーム・中央ユーラシア史,750年〜1258年,西アジアを中心とするイスラーム世界,アッバース朝,王朝・カリフ国家,成立・都,アッバース朝はいつ成立し、都をどこに置いたか？,750年に成立し、のちに都をバグダードに置いた。,統治,アッバース朝は、ウマイヤ朝と比べてどのような統治を行ったか？,非アラブ系ムスリムも広く登用し、ペルシア系官僚制度を取り入れた。,文化,アッバース朝の時代に、学問と文化が栄えた背景は何か？,広域交易と都市の繁栄を背景に、ギリシア・ペルシア・インドの知識を吸収したから。,終焉,バグダードのアッバース朝は、いつ、誰に滅ぼされたか？,1258年にモンゴル軍のフラグによって滅ぼされた。,アッバース朝について、成立・統治・文化的繁栄・終焉を説明せよ。,アッバース朝は、750年にウマイヤ朝を倒して成立し、バグダードを都としたカリフ王朝である。非アラブ系ムスリムを取り込み、ペルシア系官僚制度を利用した。交易と都市が栄え、学問・科学・翻訳が発達したが、実権は分散し、1258年にモンゴル軍に滅ぼされた。,750年;バグダード;非アラブ系ムスリム;ペルシア官僚;翻訳;1258年
33,歴史の骨格,イスラーム・中央ユーラシア史,7世紀以降,イスラーム世界,スンナ派・シーア派,宗派,分裂原因,スンナ派とシーア派の分裂は、何をめぐる対立から始まったか？,ムハンマド死後、誰が共同体の指導者となるべきかをめぐる対立から始まった。,スンナ派,スンナ派は、指導者の正統性をどのように考えたか？,共同体が認めたカリフを正統な指導者とし、慣行であるスンナを重視した。,シーア派,シーア派は、誰の家系に特別な指導権があると考えたか？,ムハンマドの従弟で娘婿のアリーと、その子孫に指導権があると考えた。,影響,この宗派分裂は、後世のイスラーム世界にどのような影響を与えたか？,宗教儀礼や法学だけでなく、王朝の正統性や現代の地域政治にも影響を残した。,スンナ派とシーア派について、分裂の原因と両者の違いを説明せよ。,スンナ派とシーア派の分裂は、ムハンマド死後の指導者継承をめぐる対立から始まった。スンナ派は共同体が認めたカリフとスンナを重視し、シーア派はアリーとその子孫であるイマームに特別な権威を認める。宗教と政治の両面で長く影響した。,後継者問題;カリフ;スンナ;アリー;イマーム;宗派
34,歴史の骨格,イスラーム・中央ユーラシア史,11世紀〜12世紀,イラン・イラク・アナトリア,セルジューク朝,王朝,担い手,セルジューク朝を建てたのは、どのような人々か？,中央アジアから西方へ進出したトルコ系遊牧民である。,政治,セルジューク朝の支配者は、カリフからどの称号を認められたか？,スルタンの称号を認められた。,役割分担,セルジューク朝のもとで、カリフとスルタンはどのような関係になったか？,カリフが宗教的権威を持ち、スルタンが政治・軍事の実権を握った。,影響,セルジューク朝のアナトリア進出は、ヨーロッパ側のどの運動の背景となったか？,ビザンツ帝国の救援要請を通じて、十字軍の背景となった。,セルジューク朝について、民族・スルタン・カリフとの関係・十字軍との関連を説明せよ。,セルジューク朝は、11世紀に西アジアへ進出したトルコ系のスンナ派王朝である。バグダードに入り、カリフからスルタンの称号を得て政治・軍事の実権を握った。アナトリアへ勢力を広げたことが、ビザンツ帝国の危機と十字軍派遣の背景になった。,トルコ系;スンナ派;スルタン;カリフ;アナトリア;十字軍
35,歴史の骨格,イスラーム・中央ユーラシア史,1206年〜13世紀後半,ユーラシア大陸,モンゴル帝国,帝国,成立,モンゴル帝国を建てた人物は誰で、いつ大ハンに選ばれたか？,チンギス＝ハンで、1206年に大ハンに選ばれた。,範囲,モンゴル帝国は、どのような規模の帝国となったか？,東アジアから東ヨーロッパ・西アジアまで広がる、史上最大級の陸上帝国となった。,軍事・統治,モンゴル軍が急速に拡大できた主な理由は何か？,騎馬軍事力、十進法的な組織、情報伝達、降伏者の技術利用を組み合わせたから。,影響,モンゴル帝国は、ユーラシア交流にどのような影響を与えたか？,交通路を保護し、人・物・技術・宗教の移動を活発にした一方、征服と疫病拡散ももたらした。,モンゴル帝国について、建国・領域・軍事的特徴・ユーラシア交流への影響を説明せよ。,モンゴル帝国は、1206年にチンギス＝ハンが諸部族を統一して建てた帝国である。優れた騎馬軍事力と組織でユーラシア各地を征服し、死後は複数のハン国へ分かれた。広域交通を安全にし、交易と文化交流を促したが、破壊や疫病拡散も伴った。,1206年;チンギス＝ハン;騎馬軍;ハン国;ユーラシア交易;パクス＝モンゴリカ
36,歴史の骨格,イスラーム・中央ユーラシア史,13世紀末頃〜1922年,アナトリア・バルカン・西アジア・北アフリカ,オスマン帝国,帝国,成立・担い手,オスマン帝国は、どの地域で成立したトルコ系国家か？,アナトリア北西部で成立したトルコ系イスラーム国家である。,転機,オスマン帝国が1453年に征服した都市はどこか？,コンスタンティノープルである。,統治,オスマン帝国は、多民族・多宗教社会をどのように統治したか？,スルタンを頂点に官僚・軍隊を整え、宗教共同体に一定の自治を認めた。,終焉,オスマン帝国は、どの戦争後に解体され、いつ消滅したか？,第一次世界大戦後に解体が進み、1922年にスルタン制が廃止された。,オスマン帝国について、成立・1453年・多民族統治・解体を説明せよ。,オスマン帝国は、13世紀末頃にアナトリアで成立したトルコ系イスラーム国家である。1453年にコンスタンティノープルを征服し、バルカン・西アジア・北アフリカへ拡大した。多民族・多宗教を統治する仕組みを持ったが、第一次世界大戦後に解体され、1922年に消滅した。,アナトリア;1453年;コンスタンティノープル;スルタン;多民族統治;第一次世界大戦
37,歴史の骨格,イスラーム・中央ユーラシア史,1526年〜1858年,インド亜大陸,ムガル帝国,帝国,成立,ムガル帝国を建てた人物は誰か？,ティムールとチンギス＝ハンの系譜を称したバーブルである。,最盛期,宗教融和を進め、帝国の基礎を固めた皇帝は誰か？,アクバルである。,文化,ムガル帝国では、どのような文化が形成されたか？,ペルシア系イスラーム文化とインド文化が融合し、建築・絵画・言語が発達した。,衰退,ムガル帝国が衰退し、最終的に消滅した背景は何か？,地方勢力の自立、宗教対立、ヨーロッパ商人の進出が進み、1857年の反乱後にイギリスが皇帝を廃した。,ムガル帝国について、建国・アクバル・文化融合・衰退を説明せよ。,ムガル帝国は、1526年にバーブルが北インドに建てたイスラーム王朝である。アクバルはヒンドゥー教徒を登用して宗教融和を進め、広大な帝国を安定させた。ペルシア系とインド系の文化が融合したが、18世紀以降に弱体化し、1858年に消滅した。,バーブル;1526年;アクバル;宗教融和;文化融合;1858年
38,歴史の骨格,中世ヨーロッパ史,395年〜1453年,東地中海・バルカン・小アジア,ビザンツ帝国,帝国,起源,ビザンツ帝国は、どの帝国の東半分を受け継いだ国家か？,ローマ帝国の東半分、すなわち東ローマ帝国を受け継いだ国家である。,都,ビザンツ帝国の都はどこか？,コンスタンティノープルである。,文化・宗教,ビザンツ帝国で中心となった言語とキリスト教の系統は何か？,ギリシア語と東方正教会である。,終焉,ビザンツ帝国は、いつ、誰に滅ぼされたか？,1453年にオスマン帝国によって滅ぼされた。,ビザンツ帝国について、起源・都・文化・宗教・滅亡を説明せよ。,ビザンツ帝国は、395年のローマ帝国分裂後に東半分を受け継いだ国家で、都はコンスタンティノープルだった。ギリシア語と東方正教会を中心に、ローマ法と古典文化を継承した。東地中海の要衝として長く栄え、1453年にオスマン帝国に滅ぼされた。,東ローマ帝国;コンスタンティノープル;ギリシア語;東方正教会;ローマ法;1453年
39,歴史の骨格,中世ヨーロッパ史,5世紀末〜9世紀,西ヨーロッパ,フランク王国,王国,成立,フランク王国の基礎を築き、カトリックへ改宗した王は誰か？,メロヴィング朝のクローヴィスである。,教会との関係,クローヴィスの改宗は、なぜ王国の発展に有利だったか？,ローマ系住民とカトリック教会の支持を得やすくなったから。,最盛期,フランク王国の最盛期を築き、800年に皇帝となった人物は誰か？,カール大帝である。,分裂,フランク王国の分裂を定めた843年の条約は何か？,ヴェルダン条約で、後のフランス・ドイツ・イタリアの形成に影響した。,フランク王国について、クローヴィス・教会・カール大帝・分裂を説明せよ。,フランク王国は、西ローマ帝国滅亡後の西ヨーロッパで成長したゲルマン人国家である。クローヴィスがカトリックへ改宗して教会と結び、カール大帝の時代に最盛期を迎えた。843年のヴェルダン条約などで分裂し、西欧諸国形成の基礎となった。,クローヴィス;カトリック;カール大帝;800年;ヴェルダン条約;西ヨーロッパ
40,歴史の骨格,中世ヨーロッパ史,主に9世紀〜13世紀,西ヨーロッパ,封建制,政治・社会制度,定義,中世ヨーロッパの封建制とは何か？,主君が家臣に封土を与え、家臣が軍役や忠誠を返す人的な主従関係を基礎とする仕組みである。,背景,封建制が広がった背景には、どのような政治状況があったか？,王権が弱く、外敵の侵入や治安悪化の中で地方の有力者に軍事力が集中した。,関係,封建制における主君と家臣の関係は、何を交換する関係だったか？,主君が保護と封土を与え、家臣が忠誠と軍役を提供する双務的な関係だった。,影響,封建制は、中世ヨーロッパの政治をどのようなものにしたか？,権力が多数の領主へ分散し、王が直接支配できる範囲が限られる政治秩序をつくった。,封建制について、成立背景・主従関係・封土・政治的特徴を説明せよ。,封建制は、中世西ヨーロッパで主君が家臣に封土と保護を与え、家臣が忠誠と軍役を返す主従関係を基礎とした政治秩序である。王権が弱い時代に地方領主が軍事と裁判を担い、権力が分散した。ただし地域や時代によって実態は異なった。,主君;家臣;封土;軍役;忠誠;権力分散
41,歴史の骨格,中世ヨーロッパ史,主に9世紀〜14世紀,西ヨーロッパ,荘園制,経済・社会制度,定義,荘園制とは何か？,領主が支配する土地を中心に、農民の労働や貢納で成り立った中世農村の仕組みである。,構造,荘園は、主にどのような土地から構成されたか？,領主直営地、農民保有地、共同利用地などから構成された。,農民,荘園の農民、特に農奴は領主にどのような負担を負ったか？,賦役、地代、各種の使用料を負い、移動や結婚にも制約を受けることがあった。,衰退,荘園制が弱まった主な要因は何か？,貨幣経済と都市の発達、人口変動、農民解放、労働力不足などである。,荘園制について、土地構成・農民負担・自給性・衰退を説明せよ。,荘園制は、中世西ヨーロッパの農村で、領主が土地と農民を支配した経済・社会の仕組みである。農奴は領主直営地での賦役や地代を負い、荘園は比較的自給的だった。都市と貨幣経済の発達、黒死病後の労働力不足などにより次第に弱まった。,領主;農奴;領主直営地;農民保有地;賦役;地代;貨幣経済
42,歴史の骨格,中世ヨーロッパ史,中世を中心に現代まで,西ヨーロッパを中心に世界各地,ローマ＝カトリック教会,宗教組織,定義,ローマ＝カトリック教会の最高指導者は誰か？,ローマ教皇である。,中世の役割,中世ヨーロッパで教会は、宗教以外にどのような役割を担ったか？,教育、救貧、記録、裁判、外交などを担い、政治と社会に大きな影響を持った。,組織,カトリック教会は、どのような組織によって各地をまとめたか？,教皇を頂点に司教・司祭を置く階層的な聖職者組織と修道院を通じてまとめた。,分裂,東西のキリスト教会が決定的に分裂した1054年以後、西側は何と呼ばれたか？,ローマ＝カトリック教会と呼ばれ、東側は東方正教会となった。,ローマ＝カトリック教会について、教皇・中世社会での役割・組織・東西分裂を説明せよ。,ローマ＝カトリック教会は、ローマ教皇を最高指導者とする西方キリスト教会である。中世には教区と修道院の組織を通じ、信仰だけでなく教育・救貧・政治・文化にも強い影響を持った。1054年の東西教会分裂後、東方正教会と別の道を歩んだ。,ローマ教皇;司教;修道院;中世社会;1054年;東方正教会
43,歴史の骨格,中世ヨーロッパ史,962年〜1806年,中部ヨーロッパ・ドイツを中心,神聖ローマ帝国,帝国,成立,神聖ローマ帝国の成立は、一般に誰が962年に皇帝となったことから数えられるか？,東フランク王オットー1世がローマ皇帝となったことから数えられる。,範囲,神聖ローマ帝国は、主にどの地域を中心とした国家か？,ドイツを中心に、時期によって北イタリアなども含んだ。,政治,神聖ローマ帝国で皇帝権が強固になりにくかったのはなぜか？,諸侯・都市・教会勢力が強く、皇帝が選挙で選ばれる分権的な構造だったから。,終焉,神聖ローマ帝国は、いつ、どのような状況で消滅したか？,ナポレオン戦争中の1806年に皇帝フランツ2世が帝国を解散した。,神聖ローマ帝国について、成立・地域・分権性・終焉を説明せよ。,神聖ローマ帝国は、962年にオットー1世が皇帝となったことを起点とする、中部ヨーロッパの政治体である。ドイツを中心としたが、多数の諸侯・都市・教会領からなる分権的な帝国で、皇帝と教皇の対立も続いた。ナポレオン戦争中の1806年に消滅した。,962年;オットー1世;ドイツ;諸侯;選挙皇帝;1806年
44,歴史の骨格,中世ヨーロッパ史,1096年〜13世紀末,西ヨーロッパ・東地中海・西アジア,十字軍,宗教・軍事運動,開始,第1回十字軍が始まるきっかけとなった1095年の呼びかけを行った教皇は誰か？,教皇ウルバヌス2世である。,目的,十字軍の表向きの目的は何だったか？,イスラーム勢力の支配下にある聖地イェルサレムを奪回することだった。,参加理由,人々が十字軍に参加した理由は、宗教以外に何があったか？,領土、富、交易利益、身分上昇など多様な動機があった。,影響,十字軍は、ヨーロッパと地中海世界にどのような影響を与えたか？,イスラーム世界との対立を深める一方、東方交易と都市の発展、知識交流を促した。,十字軍について、開始・目的・参加動機・結果と影響を説明せよ。,十字軍は、11世紀末から教皇の呼びかけで行われた、西欧キリスト教徒による東方遠征である。聖地イェルサレム奪回を掲げたが、宗教熱だけでなく領土や交易への期待も関わった。一時的に十字軍国家を築いたものの、聖地保持には失敗し、交易と文化交流を活発化させた。,1095年;ウルバヌス2世;イェルサレム;十字軍国家;地中海交易;文化交流
45,歴史の骨格,中世ヨーロッパ史,11世紀頃以降,西ヨーロッパ,中世都市,都市・社会,発展背景,中世ヨーロッパで都市が再び発展した主な背景は何か？,農業生産の増加と遠隔地交易・地域交易の復活である。,住民,中世都市の中心となった人々は誰か？,商人や手工業者である。,自治,都市住民は、領主から何を獲得しようとしたか？,特許状や自治権を獲得し、独自の法や行政を持とうとした。,影響,中世都市の発展は、荘園制にどのような影響を与えたか？,貨幣経済と商品交換を広げ、農民の移動や身分解放を促し、荘園の自給性を弱めた。,中世都市について、発展の背景・住民・自治・荘園制への影響を説明せよ。,中世都市は、11世紀頃から農業生産と交易の回復を背景に西ヨーロッパで発展した。商人・手工業者が集まり、領主から自治権や特許状を得た都市も多い。都市は貨幣経済、商業、教育を発達させ、荘園制と身分秩序を変化させる力となった。,農業生産;交易;商人;手工業者;自治権;特許状;貨幣経済
46,歴史の骨格,中世・初期近代ヨーロッパ史,14世紀〜16世紀,イタリアから西ヨーロッパ,ルネサンス,文化運動,定義,ルネサンスとは何か？,古代ギリシア・ローマ文化を学び直し、人間と現世を重視した文化運動である。,発祥,ルネサンスは、なぜイタリアの都市で早く発達したか？,地中海交易で富んだ都市が多く、古代ローマの遺産やビザンツからの学問に接しやすかったから。,思想,ルネサンスで重視された、人間の可能性や古典教養を探究する考えを何というか？,人文主義、すなわちヒューマニズムである。,影響,ルネサンスは、ヨーロッパ文化にどのような影響を与えたか？,美術・文学・学問を刷新し、印刷術を通じて広がり、宗教改革や科学革命の知的背景の一つとなった。,ルネサンスについて、発祥・人文主義・代表的特徴・後世への影響を説明せよ。,ルネサンスは、14〜16世紀にイタリアから広がった、古代ギリシア・ローマ文化の再評価を通じて人間と現世を重視する文化運動である。都市商人や君主の保護を受け、美術・文学・学問が発達した。人文主義と印刷術は、宗教改革や科学革命にも影響した。,イタリア都市;古典文化;人文主義;ヒューマニズム;美術;印刷術
47,歴史の骨格,中世ヨーロッパ史,1215年,イングランド,マグナ＝カルタ,政治文書,成立,マグナ＝カルタは、いつ、誰に対して認めさせられた文書か？,1215年、イングランド王ジョンに対して有力諸侯が認めさせた文書である。,背景,諸侯がジョン王に反発した主な理由は何か？,戦争の失敗と重い課税、王の恣意的な統治に不満を持ったから。,内容,マグナ＝カルタは、王権にどのような制約を加えたか？,課税や処罰を法と慣習に従わせ、王も一定の法的制約を受けることを示した。,影響,マグナ＝カルタが後世に重要視されたのはなぜか？,本来は封建的権利を守る文書だったが、法の支配や議会政治の象徴として解釈されたから。,マグナ＝カルタについて、成立背景・内容・王権制限・後世の意味を説明せよ。,マグナ＝カルタは、1215年にイングランドの有力諸侯がジョン王に認めさせた文書である。王の課税や処罰を慣習と法に従わせ、王権に一定の制約を加えた。当初は諸侯の権利を守る性格が強かったが、後に法の支配や議会政治の象徴となった。,1215年;ジョン王;諸侯;課税;法の支配;議会政治
48,歴史の骨格,中世ヨーロッパ史,1347年頃〜1351年を中心,ユーラシア・北アフリカ・ヨーロッパ,黒死病,疫病・社会変動,定義,黒死病とは、14世紀に広がった何の大流行か？,ペストの大流行である。,伝播,黒死病は、どのような経路でヨーロッパへ広がったか？,ユーラシアの交易路と黒海・地中海の海上交通を通じて広がった。,被害,黒死病は、ヨーロッパ社会にどのような人口変化を与えたか？,地域差はあるが、人口の非常に大きな割合を失わせた。,影響,人口減少は、農民や労働者の立場にどのような変化をもたらしたか？,労働力不足によって賃金や交渉力が上がり、農奴制の動揺や社会不安につながった。,黒死病について、病名・伝播経路・人口被害・社会経済への影響を説明せよ。,黒死病は、14世紀半ばにユーラシアと北アフリカへ広がったペストの大流行である。交易路と港湾を通じてヨーロッパにも到達し、人口を大幅に減少させた。労働力不足は賃金と農民の交渉力を高め、荘園制を揺るがす一方、迫害や宗教的不安も引き起こした。,ペスト;交易路;1347年;人口減少;労働力不足;農奴制
49,歴史の骨格,アフリカ・アメリカ・東南アジア史,13世紀〜16世紀,西アフリカ・ニジェール川流域,マリ王国,王国,場所,マリ王国は、どの地域に栄えたか？,西アフリカのニジェール川上流域とサハラ交易路に栄えた。,経済,マリ王国の繁栄を支えた主な交易品は何か？,金と塩である。,人物,莫大な富とメッカ巡礼で知られるマリ王国の王は誰か？,マンサ＝ムーサである。,文化,マリ王国の都市トンブクトゥは、何の中心として栄えたか？,イスラーム学問とサハラ交易の中心として栄えた。,マリ王国について、地域・金塩交易・マンサ＝ムーサ・トンブクトゥを説明せよ。,マリ王国は、13〜16世紀に西アフリカのニジェール川流域で栄えた王国である。サハラを越える金・塩交易を支配して富を蓄え、マンサ＝ムーサのメッカ巡礼で広く知られた。トンブクトゥは交易とイスラーム学問の中心となった。,西アフリカ;ニジェール川;金;塩;マンサ＝ムーサ;トンブクトゥ
50,歴史の骨格,アフリカ・アメリカ・東南アジア史,14世紀〜1521年,中央メキシコ,アステカ王国,王国・帝国,場所・都,アステカ王国はどこに成立し、都はどこだったか？,中央メキシコに成立し、都はテノチティトランだった。,支配,アステカ王国は、周辺諸都市をどのように支配したか？,軍事力で服属させ、貢納を取り立てる貢納帝国を築いた。,文化,アステカ社会で重要だった宗教的特徴は何か？,多神教を信仰し、神々への供犠を重視した。,滅亡,アステカ王国は、いつ、誰によって征服されたか？,1521年、コルテス率いるスペイン勢力が先住民の同盟者と疫病の影響を利用して征服した。,アステカ王国について、地域・都・貢納支配・スペイン征服を説明せよ。,アステカ王国は、14世紀から中央メキシコで発展し、湖上都市テノチティトランを都とした貢納帝国である。軍事力で周辺都市を服属させ、多神教と供犠を重視した。1521年、コルテス率いるスペイン勢力が現地の反アステカ勢力や疫病を利用して征服した。,中央メキシコ;テノチティトラン;貢納;多神教;コルテス;1521年
51,歴史の骨格,アフリカ・アメリカ・東南アジア史,15世紀〜1530年代,南アメリカ・アンデス地域,インカ帝国,帝国,場所・都,インカ帝国はどの地域に栄え、都はどこだったか？,アンデス地域に栄え、都はクスコだった。,統治,インカ帝国は、広大な山岳地域をどのように結びつけたか？,道路網、宿駅、共同体、労働奉仕を用いて中央集権的に統治した。,記録,インカ帝国では、数量や情報の記録に何が使われたか？,結び目を用いるキープが使われた。,征服,インカ帝国は、誰によって征服されたか？,1530年代にピサロ率いるスペイン勢力が、内戦と疫病の混乱を利用して征服した。,インカ帝国について、地域・都・統治・記録方法・スペイン征服を説明せよ。,インカ帝国は、15世紀にアンデス地域へ拡大し、クスコを都とした帝国である。道路網と労働奉仕を用いて多様な地域を統治し、キープで数量などを記録した。1530年代、ピサロ率いるスペイン勢力が内戦と疫病による混乱を利用して征服した。,アンデス;クスコ;道路網;労働奉仕;キープ;ピサロ
52,歴史の骨格,アフリカ・アメリカ・東南アジア史,15世紀初め〜1511年以後も地域勢力として継続,マレー半島・マラッカ海峡,マラッカ王国,港市国家,場所,マラッカ王国は、どの海峡に面していたか？,インド洋と南シナ海を結ぶマラッカ海峡に面していた。,繁栄,マラッカ王国は、なぜ国際交易の中心として栄えたか？,季節風航海の中継地点に位置し、各地の商人を保護したから。,宗教,マラッカ王国は、東南アジアへの何の拡大に重要な役割を果たしたか？,イスラーム教の拡大に重要な役割を果たした。,転機,マラッカは、1511年にどの国に占領されたか？,ポルトガルに占領された。,マラッカ王国について、地理的位置・中継貿易・イスラーム化・ポルトガル占領を説明せよ。,マラッカ王国は、15世紀にマラッカ海峡の要地で栄えた港市国家である。インド洋と南シナ海を結ぶ季節風交易の中継地として、多地域の商人を受け入れた。イスラーム化し、その東南アジアへの普及を促したが、1511年にポルトガルに占領された。,マラッカ海峡;港市国家;中継貿易;季節風;イスラーム;1511年
53,歴史の骨格,初期近代・海洋世界,15世紀末〜17世紀,大西洋・インド洋・世界各地,大航海時代,時代・海洋進出,定義,大航海時代とは、どのような時代を指すか？,ヨーロッパ諸国が新航路を開き、海を越えてアジア・アフリカ・アメリカへ進出した時代を指す。,背景,ヨーロッパ人が新航路を求めた主な理由は何か？,香辛料などのアジア商品を直接入手し、富・布教・国家競争を進めるためだった。,先行国,大航海時代に先行したヨーロッパの二つの国はどこか？,ポルトガルとスペインである。,影響,大航海時代は、世界史にどのような大変化をもたらしたか？,世界規模の交易、植民地支配、人口移動、奴隷貿易、感染症と作物の交換を拡大した。,大航海時代について、背景・先行国・代表的航路・世界的影響を説明せよ。,大航海時代は、15世紀末からポルトガルとスペインを先頭に、ヨーロッパ諸国が新航路を開いて海外へ進出した時代である。香辛料交易、富、布教、国家間競争が動機となった。世界規模の交易と植民地支配を生み、人口・作物・病原体・銀の移動を急拡大させた。,新航路;ポルトガル;スペイン;香辛料;植民地;世界交易
54,歴史の骨格,初期近代・海洋世界,1451年頃〜1506年、1492年航海,大西洋・カリブ海,コロンブス,人物,立場,コロンブスは、どの国の援助を受けて航海したか？,スペイン王室の援助を受けた。,目的,コロンブスは、どのような航路を目指して西へ航海したか？,大西洋を西へ進んでアジアへ到達する航路を目指した。,到達,コロンブスは1492年にどこへ到達したか？,カリブ海の島々へ到達した。,影響,コロンブスの航海は、その後の世界に何をもたらしたか？,ヨーロッパによるアメリカ大陸への継続的な進出・征服・植民地化の出発点となった。,コロンブスについて、援助国・目的・1492年の到達地・歴史的影響を説明せよ。,コロンブスは、スペイン王室の援助を受け、1492年に大西洋を西へ航海してカリブ海へ到達した航海者である。本人はアジア周辺に到達したと考えたが、この航海はヨーロッパとアメリカ大陸の継続的接触を始め、征服・植民地化とコロンブス交換を促した。,スペイン;1492年;西回り航路;カリブ海;アメリカ大陸;植民地化
55,歴史の骨格,初期近代・海洋世界,1460年代頃〜1524年、1498年インド到達,大西洋・インド洋,ヴァスコ・ダ・ガマ,人物,出身,ヴァスコ・ダ・ガマは、どの国の航海者か？,ポルトガルの航海者である。,航路,ヴァスコ・ダ・ガマは、どの岬を回ってインドへ向かったか？,アフリカ南端の喜望峰を回った。,到達,ヴァスコ・ダ・ガマがインドへ到達したのは何年か？,1498年である。,影響,ダ・ガマの航海は、ポルトガルにどのような道を開いたか？,インド洋交易へ武力で参入し、アジア各地に拠点を築く道を開いた。,ヴァスコ・ダ・ガマについて、出身国・航路・1498年・ポルトガル進出への影響を説明せよ。,ヴァスコ・ダ・ガマは、ポルトガルの航海者で、喜望峰を回る航路によって1498年にインドへ到達した。これによりヨーロッパとインド洋を直接結ぶ海路が開かれ、ポルトガルは武力と港湾拠点を用いて香辛料交易へ進出した。,ポルトガル;喜望峰;1498年;インド;インド洋交易;香辛料
56,歴史の骨格,初期近代・海洋世界,1492年以降,アメリカ大陸とアフロ・ユーラシア,コロンブス交換,生態・人口交流,定義,コロンブス交換とは何か？,1492年以後、アメリカ大陸とアフロ・ユーラシアの間で生物・人間・病原体などが交換された現象である。,旧世界から新世界,ヨーロッパ側からアメリカへ持ち込まれた代表的なものは何か？,馬、牛、小麦、サトウキビ、天然痘などである。,新世界から旧世界,アメリカから旧世界へ広がった代表的な作物は何か？,トウモロコシ、ジャガイモ、トマト、カカオなどである。,影響,コロンブス交換は、人口にどのような影響を与えたか？,アメリカ先住民は感染症で激減し、旧世界では新作物が人口増加を支えた。,コロンブス交換について、交換されたものと両世界の人口・環境への影響を説明せよ。,コロンブス交換は、1492年以後、アメリカ大陸とアフロ・ユーラシアの間で作物、家畜、病原体、人間が大規模に移動した現象である。天然痘などは先住民人口を激減させた一方、ジャガイモやトウモロコシは旧世界の食料生産と人口増加を支え、世界の環境を変えた。,1492年;作物;家畜;天然痘;先住民人口;ジャガイモ;トウモロコシ
57,歴史の骨格,初期近代・海洋世界,16世紀〜19世紀,西アフリカ・大西洋・アメリカ,大西洋奴隷貿易,強制移住・交易,定義,大西洋奴隷貿易とは何か？,アフリカの人々を強制的に大西洋を渡らせ、アメリカで奴隷労働に従事させた交易である。,需要,アメリカで奴隷労働が大量に求められた主な産業は何か？,砂糖、綿花、タバコなどを生産するプランテーションや鉱山である。,航路,アフリカからアメリカへの過酷な航海は何と呼ばれるか？,中間航路、ミドル・パッセージと呼ばれる。,影響,大西洋奴隷貿易は、アフリカとアメリカにどのような長期的影響を残したか？,アフリカの人口・社会を損ない、アメリカに人種的奴隷制と深い不平等を残した。,大西洋奴隷貿易について、仕組み・労働先・中間航路・長期的影響を説明せよ。,大西洋奴隷貿易は、16〜19世紀にアフリカの人々を強制的にアメリカへ輸送し、プランテーションや鉱山で働かせた交易である。過酷な中間航路で多数が死亡した。アフリカ社会を不安定化させ、アメリカの富を支える一方、人種差別と社会的不平等を長く残した。,西アフリカ;強制移住;プランテーション;中間航路;人種的奴隷制;不平等
58,歴史の骨格,初期近代ヨーロッパ史,16世紀,西・中部ヨーロッパ,宗教改革,宗教・社会運動,開始,宗教改革の象徴的な始まりとされる1517年の行動を行った人物は誰か？,マルティン＝ルターである。,批判,ルターは、当時のカトリック教会の何を批判したか？,贖宥状の販売や、救いを教会の制度と功績に結びつける考えを批判した。,教え,ルターが重視した救いの考えと信仰のよりどころは何か？,信仰によって義とされることと、聖書を信仰の最高のよりどころとすることである。,影響,宗教改革は、ヨーロッパにどのような変化をもたらしたか？,プロテスタント諸教会を生み、宗教戦争、国家と教会の再編、識字と教育の拡大につながった。,宗教改革について、1517年・ルターの批判と教え・ヨーロッパへの影響を説明せよ。,宗教改革は、16世紀にカトリック教会の権威と制度を批判し、西方キリスト教世界を分裂させた運動である。1517年にルターが贖宥状を批判し、信仰による義と聖書中心主義を主張した。各地にプロテスタント教会が成立し、政治・教育・戦争にも大きな影響を与えた。,1517年;ルター;贖宥状;信仰義認;聖書中心;プロテスタント
